Ville,Adresse,Type,Date,Prix,Surface,Operation,Description,surface_regex,rooms,bathrooms,salons,garage,terrasse,ascenseur,piscine,meuble,balcon,price_per_room,city_median_price,price_vs_city
Casablanca,Ain Sebaa,Appartement,02/05/2026,440000,58,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 58 m² Casablanca  « Ain Sebaa »",58.0,3.0,,1.0,0,0,0,0,0,0,146666.66666666666,920000.0,0.4782608695652174
Casablanca,Sidi Bernoussi,Appartement,01/05/2026,400000,60,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 60 m² Casablanca  « Sidi Bernoussi »",60.0,3.0,,1.0,0,0,0,0,0,0,133333.33333333334,920000.0,0.43478260869565216
Casablanca,Non spécifié,Appartement,30/04/2026,1665000,111,à vendre,"3 chambre, 2 salon. Appartement  5 pièces 111 m² Casablanca",111.0,5.0,,2.0,0,0,0,0,0,0,333000.0,920000.0,1.809782608695652
Casablanca,Non spécifié,Appartement,30/04/2026,2400000,134,à vendre,"4 chambre, 1 salon, avec Garage. Appartement  5 pièces 134 m² Casablanca",134.0,5.0,,1.0,1,0,0,0,0,0,480000.0,920000.0,2.608695652173913
Casablanca,Maârif Extension,Appartement,29/04/2026,2100000,140,à vendre,"3 chambre, 2 salon, avec Garage. Appartement meublé 5 pièces 140 m² Casablanca  « Maârif Extension »",140.0,5.0,,2.0,1,0,0,0,1,0,420000.0,920000.0,2.282608695652174
Casablanca,Maârif Extension,Appartement,29/04/2026,2100000,149,à vendre,"3 chambre, 2 salon, avec Garage. Appartement  5 pièces 149 m² Casablanca  « Maârif Extension »",149.0,5.0,,2.0,1,0,0,0,0,0,420000.0,920000.0,2.282608695652174
Casablanca,Non spécifié,Appartement,26/04/2026,1200000,88,à vendre,"2 chambre, 1 salon, avec Garage. Appartement  3 pièces 88 m² Casablanca",88.0,3.0,,1.0,1,0,0,0,0,0,400000.0,920000.0,1.3043478260869565
Casablanca,Errahma,Appartement,25/04/2026,310000,51,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 51 m² Casablanca  « Errahma »",51.0,3.0,,1.0,0,0,0,0,0,0,103333.33333333333,920000.0,0.33695652173913043
Casablanca,Abdelmoumen,Appartement,25/04/2026,1135000,121,à vendre,"4 chambre, 1 salon. Appartement  5 pièces 121 m² Casablanca  « Abdelmoumen »",121.0,5.0,,1.0,0,0,0,0,0,0,227000.0,920000.0,1.233695652173913
Casablanca,Sidi Maarouf,Appartement,25/04/2026,908000,87,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 87 m² Casablanca  « Sidi Maarouf »",87.0,3.0,,1.0,0,0,0,0,0,0,302666.6666666667,920000.0,0.9869565217391304
Casablanca,Ben M'sick,Appartement,23/04/2026,230000,50,à vendre,"1 chambre, 1 salon. Appartement  2 pièces 50 m² Casablanca  « Ben M'sick »",50.0,2.0,,1.0,0,0,0,0,0,0,115000.0,920000.0,0.25
