Ville,Adresse,Type,Date,Prix,Surface,Operation,Description
Casablanca,Ain Sebaa,Appartement,02/05/2026,440000,58,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 58 m² Casablanca  « Ain Sebaa »"
Casablanca,Sidi Bernoussi,Appartement,01/05/2026,400000,60,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 60 m² Casablanca  « Sidi Bernoussi »"
Casablanca,Non spécifié,Appartement,30/04/2026,1665000,111,à vendre,"3 chambre, 2 salon. Appartement  5 pièces 111 m² Casablanca"
Casablanca,Non spécifié,Appartement,30/04/2026,2400000,134,à vendre,"4 chambre, 1 salon, avec Garage. Appartement  5 pièces 134 m² Casablanca"
Casablanca,Maârif Extension,Appartement,29/04/2026,2100000,140,à vendre,"3 chambre, 2 salon, avec Garage. Appartement meublé 5 pièces 140 m² Casablanca  « Maârif Extension »"
Casablanca,Maârif Extension,Appartement,29/04/2026,2100000,149,à vendre,"3 chambre, 2 salon, avec Garage. Appartement  5 pièces 149 m² Casablanca  « Maârif Extension »"
Casablanca,Non spécifié,Appartement,26/04/2026,1200000,88,à vendre,"2 chambre, 1 salon, avec Garage. Appartement  3 pièces 88 m² Casablanca"
Casablanca,Errahma,Appartement,25/04/2026,310000,51,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 51 m² Casablanca  « Errahma »"
Casablanca,Abdelmoumen,Appartement,25/04/2026,1135000,121,à vendre,"4 chambre, 1 salon. Appartement  5 pièces 121 m² Casablanca  « Abdelmoumen »"
Casablanca,Sidi Maarouf,Appartement,25/04/2026,908000,87,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 87 m² Casablanca  « Sidi Maarouf »"
Casablanca,Ben M'sick,Appartement,23/04/2026,230000,50,à vendre,"1 chambre, 1 salon. Appartement  2 pièces 50 m² Casablanca  « Ben M'sick »"
Casablanca,Sbata,Appartement,21/04/2026,555000,74,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 74 m² Casablanca  « Sbata »"
Casablanca,Ain Sebaa,Appartement,20/04/2026,720000,85,à vendre,"1 chambre, 2 salon. Appartement meublé 3 pièces 85 m² Casablanca  « Ain Sebaa »"
Casablanca,Non spécifié,Appartement,19/04/2026,1600000,140,à vendre,"4 chambre, 1 salon, avec Garage. Appartement meublé 5 pièces 140 m² Casablanca"
Casablanca,Les Princesses,Appartement,18/04/2026,2150000,144,à vendre,"3 chambre, 2 salon. Appartement  5 pièces 144 m² Casablanca  « Les Princesses »"
Casablanca,Roches Noires,Appartement,18/04/2026,1062500,85,à vendre,"2 chambre, 1 salon, avec Garage. Appartement  3 pièces 85 m² Casablanca  « Roches Noires »"
Casablanca,Sidi Bernoussi,Appartement,17/04/2026,340000,55,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 55 m² Casablanca  « Sidi Bernoussi »"
Casablanca,Hay Hassani,Appartement,14/04/2026,1280000,209,à vendre,"3 chambre, 2 salon, avec Garage. Appartement  5 pièces 209 m² Casablanca  « Hay Hassani »"
