iter	RMSE
0	0.3211401518
1	0.317292138
2	0.312139153
3	0.3070934477
4	0.3031429992
5	0.2985353793
6	0.2951823742
7	0.2913662676
8	0.2874784466
9	0.2838237787
10	0.2799695255
11	0.2759923975
12	0.2727751055
13	0.2697871185
14	0.2665435083
15	0.2630140723
16	0.2595932757
17	0.2565101472
18	0.2536676495
19	0.2506249403
20	0.2474806886
21	0.2446110113
22	0.2414968471
23	0.2387614965
24	0.2355873153
25	0.2322417201
26	0.2299625541
27	0.2272715946
28	0.2259365365
29	0.2238238965
30	0.2219568295
31	0.2192993616
32	0.2166733881
33	0.2151613546
34	0.2131755465
35	0.2114021402
36	0.2100258929
37	0.2079961824
38	0.2061888498
39	0.2043998776
40	0.2025239637
41	0.2006894027
42	0.1985651855
43	0.1965961302
44	0.1954144758
45	0.1942453657
46	0.1923063514
47	0.190613446
48	0.1892400612
49	0.1874483999
50	0.1859131983
51	0.1842514532
52	0.1825595712
53	0.1809347195
54	0.1798079364
55	0.1785138328
56	0.1768842003
57	0.1754101083
58	0.1739977537
59	0.1727848415
60	0.1712590829
61	0.1698339887
62	0.1685486913
63	0.1672640591
64	0.1659348881
65	0.1650040816
66	0.1637024766
67	0.1622110477
68	0.1608999484
69	0.1602065536
70	0.1591004855
71	0.1580322195
72	0.1573009905
73	0.1563058512
74	0.1551380449
75	0.1542618187
76	0.1534089974
77	0.15222082
78	0.1512170993
79	0.1501497316
80	0.1493241142
81	0.1484423975
82	0.1474631948
83	0.1465257981
84	0.1455130851
85	0.1448072533
86	0.1438177478
87	0.1431585737
88	0.1425905847
89	0.1415504516
90	0.1405664823
91	0.1398529761
92	0.1390710136
93	0.1381234796
94	0.13740599
95	0.1365556048
96	0.1358972633
97	0.1349104312
98	0.1342015293
99	0.1337285836
100	0.1330786978
101	0.1323349078
102	0.13181652
103	0.1310911053
104	0.1305650333
105	0.1298618307
106	0.1292037083
107	0.1284472159
108	0.1278290312
109	0.127203877
110	0.1267214904
111	0.1261617041
112	0.125659442
113	0.1249701936
114	0.124154783
115	0.1235565684
116	0.1228901693
117	0.1221044823
118	0.1214084303
119	0.1206959079
120	0.1202356955
121	0.1194586174
122	0.1187840771
123	0.1183233297
124	0.1176909957
125	0.1172788924
126	0.1165179603
127	0.1157996389
128	0.1151469556
129	0.1143964995
130	0.1138108597
131	0.113171408
132	0.112693568
133	0.1122705772
134	0.1118816744
135	0.1114726196
136	0.1109578192
137	0.1103182303
138	0.109932235
139	0.1094568837
140	0.1089388172
141	0.108464971
142	0.1078113309
143	0.1074487539
144	0.1072231424
145	0.1069048936
146	0.1063612045
147	0.1058950477
148	0.1057540795
149	0.105196236
150	0.1050741598
151	0.104643289
152	0.1043849876
153	0.10410931
154	0.1036571332
155	0.1034578464
156	0.1029989793
157	0.1025219259
158	0.1022924259
159	0.1018899756
160	0.1013635983
161	0.10081181
162	0.1004635195
163	0.1000161006
164	0.09951797473
165	0.0990287035
166	0.09860787109
167	0.09815372259
168	0.09780413983
169	0.09758184955
170	0.09702438454
171	0.09666268376
172	0.09616690561
173	0.09560355914
174	0.09525676097
175	0.09505732484
176	0.09466642573
177	0.09429767722
178	0.09392771695
179	0.09372010478
180	0.09325439525
181	0.09289715636
182	0.09246220666
183	0.09199907052
184	0.0915831227
185	0.09118530877
186	0.09087733013
187	0.09045561231
188	0.09017156772
189	0.08984667704
190	0.089455003
191	0.08900427209
192	0.08852413984
193	0.08823409372
194	0.08791602017
195	0.08756728573
196	0.08704636078
197	0.08667954652
198	0.08628927527
199	0.08614959242
200	0.08581536112
201	0.08547887533
202	0.0850465889
203	0.08462602672
204	0.08432272747
205	0.08390849054
206	0.08365728448
207	0.0833326386
208	0.08314564283
209	0.08278342535
210	0.08239144283
211	0.08185387342
212	0.08138765807
213	0.08100746299
214	0.0807643546
215	0.08022360085
216	0.07995431193
217	0.07962337156
218	0.07940903727
219	0.07918942188
220	0.07891814109
221	0.07861762479
222	0.07839601102
223	0.07810080376
224	0.07774049754
225	0.07752241748
226	0.07720266983
227	0.07696296858
228	0.07673863837
229	0.07627385173
230	0.07595818051
231	0.07567660457
232	0.07527121929
233	0.07500929986
234	0.0747628867
235	0.0745323822
236	0.07421294451
237	0.07395005804
238	0.07357173228
239	0.07316021757
240	0.07291859531
241	0.07271159096
242	0.07244968438
243	0.07221493221
244	0.0719407944
245	0.07171963809
246	0.07159631707
247	0.07123395176
248	0.07094944625
249	0.07075751941
250	0.07046732742
251	0.07023298568
252	0.07008399449
253	0.0698633657
254	0.06960442883
255	0.06945782251
256	0.06930493834
257	0.06909318348
258	0.06889575134
259	0.06867326159
260	0.06837946631
261	0.06817736166
262	0.0679485561
263	0.06764268819
264	0.06727803884
265	0.06711141411
266	0.06676595698
267	0.06650083923
268	0.06637894223
269	0.06618850957
270	0.06602020422
271	0.06580745398
272	0.06560487733
273	0.06536332332
274	0.0652214825
275	0.06490497259
276	0.06475671734
277	0.06462602197
278	0.06443671601
279	0.06417682184
280	0.06399328975
281	0.06380229721
282	0.06360909304
283	0.06340915517
284	0.06309875498
285	0.06292762831
286	0.06275388812
287	0.06259962909
288	0.06245993664
289	0.06224691008
290	0.06198789474
291	0.06176875426
292	0.06162751748
293	0.06146154066
294	0.06119854131
295	0.06101294487
296	0.06089334407
297	0.06061065726
298	0.0604628257
299	0.06028274535
300	0.06013704664
301	0.06002589449
302	0.05988528275
303	0.05971510636
304	0.05959350583
305	0.05942825305
306	0.05929107752
307	0.05917895528
308	0.05895306116
309	0.05880983047
310	0.05852277074
311	0.05838441231
312	0.05831640898
313	0.0581836497
314	0.05796365992
315	0.05775527616
316	0.05756872519
317	0.05741103144
318	0.05726153854
319	0.05714716398
320	0.05685069944
321	0.05676135105
322	0.05665779988
323	0.05657356922
324	0.05642227854
325	0.05630152288
326	0.05608288802
327	0.0558719401
328	0.05566243224
329	0.0554562863
330	0.05535361607
331	0.05520605522
332	0.05503266348
333	0.05482791129
334	0.05458724059
335	0.0544919284
336	0.05437040086
337	0.05429998834
338	0.05408193731
339	0.05398433494
340	0.05382814245
341	0.0535757426
342	0.05345045609
343	0.05323844662
344	0.05304349588
345	0.05286354257
346	0.0527224252
347	0.05252116367
348	0.05234606948
349	0.05223844467
350	0.052104721
351	0.05199043582
352	0.05182827279
353	0.05171532894
354	0.05159858986
355	0.05142557754
356	0.05135113907
357	0.05119381106
358	0.05110951143
359	0.05094462664
360	0.05079389473
361	0.05072666162
362	0.05061425758
363	0.05055974503
364	0.05041305256
365	0.05030880846
366	0.05015895087
367	0.04994359513
368	0.04978611864
369	0.04965028834
370	0.04961305562
371	0.04948185489
372	0.04945401871
373	0.04926278486
374	0.04915722546
375	0.04905996486
376	0.04897017513
377	0.04890174178
378	0.04880973358
379	0.04869649525
380	0.0486081136
381	0.04851041523
382	0.04843030197
383	0.0483544527
384	0.04821512002
385	0.04814271621
386	0.04796315316
387	0.04782354216
388	0.0475774865
389	0.04749658709
390	0.04741973846
391	0.04737451626
392	0.04725941308
393	0.04709988625
394	0.0470088349
395	0.04686264959
396	0.04676685712
397	0.04660399491
398	0.0464554262
399	0.04636558509
400	0.0462568758
401	0.04614415923
402	0.04610129017
403	0.04601547491
404	0.04588926083
405	0.0457349709
406	0.04566023126
407	0.04556349191
408	0.04549202836
409	0.04534332923
410	0.04524404058
411	0.04517452294
412	0.04513528828
413	0.04504031389
414	0.04500477524
415	0.04483382247
416	0.04474411771
417	0.0446272549
418	0.04452132422
419	0.044385345
420	0.04435499362
421	0.04430039537
422	0.04425525872
423	0.04410933365
424	0.0440446974
425	0.04396104627
426	0.04391283555
427	0.04381332206
428	0.04370402487
429	0.04358300603
430	0.04347168489
431	0.0434464475
432	0.04334199703
433	0.0432837798
434	0.04320208888
435	0.04310923012
436	0.04306609947
437	0.04296182586
438	0.04281573777
439	0.04275565499
440	0.04263100322
441	0.04254899746
442	0.04241576529
443	0.04228369834
444	0.04211109473
445	0.04202799572
446	0.04191181406
447	0.0417872372
448	0.04161694292
449	0.04151712706
450	0.04139341383
451	0.04133147098
452	0.04123551477
453	0.04112667647
454	0.0410584029
455	0.04102190417
456	0.04092502373
457	0.04078322397
458	0.04062387476
459	0.04054095111
460	0.04044160871
461	0.04036139561
462	0.0402547639
463	0.04010139581
464	0.04000731396
465	0.03992894883
466	0.03983830141
467	0.03972125886
468	0.03964920601
469	0.03960433628
470	0.03947354286
471	0.03938395238
472	0.03922761611
473	0.03916699631
474	0.0390658178
475	0.03899642511
476	0.03891182311
477	0.03885361375
478	0.03877933819
479	0.03865121124
480	0.03854770559
481	0.03847989697
482	0.03843177666
483	0.03837699765
