iter	Passed	Remaining
0	239	719533
1	398	597497
2	482	482165
3	542	406562
4	604	362143
5	645	321995
6	724	309593
7	808	302473
8	884	293974
9	941	281409
10	960	261112
11	1002	249630
12	1050	241455
13	1129	240835
14	1213	241514
15	1295	241611
16	1362	239162
17	1441	238794
18	1522	238901
19	1558	232259
20	1657	235119
21	1694	229353
22	1749	226469
23	1825	226359
24	1851	220382
25	1897	217056
26	1943	213979
27	1974	209624
28	1987	203666
29	2041	202088
30	2054	196806
31	2117	196409
32	2137	192167
33	2184	190591
34	2245	190215
35	2319	190977
36	2339	187322
37	2413	188100
38	2429	184464
39	2499	184987
40	2516	181605
41	2588	182319
42	2607	179321
43	2651	178160
44	2663	174930
45	2688	172632
46	2740	172190
47	2804	172471
48	2839	171001
49	2886	170308
50	2924	169120
51	2997	169942
52	3052	169753
53	3069	167445
54	3123	167232
55	3184	167439
56	3256	168161
57	3288	166827
58	3322	165623
59	3387	165992
60	3446	166044
61	3504	166046
62	3553	165649
63	3610	165646
64	3631	163959
65	3646	162118
66	3673	160807
67	3698	159468
68	3756	159553
69	3769	157790
70	3847	158715
71	3944	160395
72	3963	158921
73	4011	158609
74	4106	160141
75	4138	159217
76	4189	159020
77	4242	158944
78	4337	160362
79	4409	160964
80	4435	159839
81	4494	159924
82	4554	160060
83	4622	160468
84	4694	160991
85	4741	160650
86	4815	161222
87	4880	161511
88	4906	160475
89	4967	160604
90	5026	160685
91	5084	160702
92	5141	160710
93	5198	160716
94	5256	160750
95	5320	160936
96	5346	160015
97	5419	160479
98	5493	160963
99	5515	159951
100	5577	160079
101	5619	159667
102	5677	159675
103	5693	158532
104	5738	158222
105	5793	158161
106	5852	158248
107	5910	158271
108	5925	157164
109	5982	157169
110	5996	156074
111	6031	155525
112	6061	154851
113	6124	155047
114	6196	155451
115	6228	154862
116	6293	155086
117	6418	156775
118	6541	158365
119	6667	160021
120	6738	160332
121	6810	160649
122	6885	161054
123	6917	160450
124	6976	160450
125	6996	159593
126	7060	159728
127	7129	159974
128	7203	160322
129	7276	160644
130	7351	161007
131	7423	161301
132	7475	161152
133	7500	160416
134	7528	159781
135	7587	159790
136	7623	159317
137	7679	159273
138	7746	159447
139	7823	159816
140	7885	159899
141	7951	160046
142	8006	159960
143	8078	160217
144	8133	160155
145	8167	159663
146	8244	160010
147	8317	160285
148	8330	159395
149	8415	159895
150	8439	159230
151	8499	159246
152	8556	159213
153	8673	160297
154	8761	160817
155	8792	160297
156	8864	160514
157	8927	160578
158	8967	160231
159	9043	160517
160	9115	160746
161	9190	161004
162	9254	161076
163	9331	161364
164	9405	161605
165	9475	161763
166	9534	161745
167	9593	161720
168	9650	161667
169	9683	161197
170	9756	161408
171	9830	161636
172	9903	161840
173	9976	162036
174	10051	162260
175	10084	161809
176	10146	161821
177	10207	161821
178	10263	161756
179	10309	161514
180	10382	161710
181	10453	161861
182	10526	162034
183	10592	162111
184	10673	162410
185	10766	162889
186	10840	163067
187	10918	163312
188	11029	164046
189	11143	164813
190	11210	164867
191	11269	164820
192	11330	164796
193	11405	164962
194	11477	165103
195	11538	165068
196	11612	165228
197	11682	165323
198	11754	165454
199	11777	164881
200	11851	165036
201	11930	165257
202	12010	165490
203	12086	165660
204	12162	165830
