ville,adresse,type,surface,operation,prix_original,prix_corrected,reason
Casablanca,Hôpitaux,Appartement,156.0,à vendre,156,4446000,"Original 156 MAD < market floor (12,000–45,000 MAD/m² × 156.0 m²)"
Fès,Non spécifié,Appartement,50.0,à vendre,75000,650000,"Original 75,000 MAD < market floor (6,000–20,000 MAD/m² × 50.0 m²)"
Agadir,Hay Salam,Appartement,112.0,à vendre,14000,1568000,"Original 14,000 MAD < market floor (7,000–25,000 MAD/m² × 112.0 m²)"
Fès,Sehb El Ward,Maison,60.0,à vendre,100000,930000,"Original 100,000 MAD < market floor (6,000–25,000 MAD/m² × 60.0 m²)"
Marrakech,Route D'ourika,Villa,500.0,à vendre,1750000,18000000,"Original 1,750,000 MAD < market floor (12,000–60,000 MAD/m² × 500.0 m²)"
Marrakech,Non spécifié,Villa,430.0,à vendre,1200000,15480000,"Original 1,200,000 MAD < market floor (12,000–60,000 MAD/m² × 430.0 m²)"
El Jadida,Non spécifié,Villa,9000.0,à vendre,1800000,216000000,"Original 1,800,000 MAD < market floor (8,000–40,000 MAD/m² × 9000.0 m²)"
Fès,Fes Jdid,Riad,350.0,à vendre,140,4550000,"Original 140 MAD < market floor (6,000–20,000 MAD/m² × 350.0 m²)"
Marrakech,Non spécifié,Riad,126.0,à vendre,5000,630000,"Original 5,000 MAD < market floor (10,000–42,000 MAD/m² × 126.0 m²)"
Tanger,Iberie,Local_Commercial,2000.0,à vendre,4500000,38500000,"Original 4,500,000 MAD < market floor (8,500–30,000 MAD/m² × 2000.0 m²)"
Rabat,Non spécifié,Ferme,40000.0,à vendre,3750000,1000000000,"Original 3,750,000 MAD < market floor (10,000–40,000 MAD/m² × 40000.0 m²)"
Mohammedia,Non spécifié,Ferme,80000.0,à vendre,7800000,1720000000,"Original 7,800,000 MAD < market floor (8,000–35,000 MAD/m² × 80000.0 m²)"
Casablanca,Polo,Terrain,2700.0,à vendre ,12500,33750000,"Original 12,500 MAD < market floor (1,000–10,000 MAD/m² × 2700.0 m²)"
Casablanca,Non spécifié,Terrain,81.0,à vendre ,45,446000,"Original 45 MAD < market floor (1,000–10,000 MAD/m² × 81.0 m²)"
Rabat,Non spécifié,Terrain,500.0,à vendre ,40000,2200000,"Original 40,000 MAD < market floor (800–8,000 MAD/m² × 500.0 m²)"
Marrakech,Non spécifié,Terrain,13000.0,à vendre ,85000,48750000,"Original 85,000 MAD < market floor (500–7,000 MAD/m² × 13000.0 m²)"
Kénitra,El Haddada,Terrain,400.0,à vendre ,5600,2240000,"Original 5,600 MAD < market floor (300–4,000 MAD/m² × 400.0 m²)"
Safi,Non spécifié,Terrain,180.0,à vendre ,1000,180000,"Original 1,000 MAD < market floor (300–4,000 MAD/m² × 180.0 m²)"
Bouskoura,Non spécifié,Terrain,4219.0,à vendre ,800,3375000,"Original 800 MAD < market floor (300–4,000 MAD/m² × 4219.0 m²)"
Taza,Non spécifié,Terrain,144.0,à vendre ,500,72000,"Original 500 MAD < market floor (300–4,000 MAD/m² × 144.0 m²)"
Taza,Non spécifié,Terrain,12000.0,à vendre ,600000,25800000,"Original 600,000 MAD < market floor (300–4,000 MAD/m² × 12000.0 m²)"
Rabat,Souissi,Terrain,49.8,à vendre,6000,299000,"Original 6,000 MAD < market floor (800–8,000 MAD/m² × 49.8 m²)"
Sidi Bouzid,Toute la ville,Maison,50.5,à vendre,100000,783000,"Original 100,000 MAD < market floor (6,000–25,000 MAD/m² × 50.5 m²)"
