Ville,Adresse,Type,Date,Prix,Surface,Operation,Description
Casablanca,Sidi Maarouf,Maison,05/05/2026,2600000,84,à vendre,"5 chambre, 3 salon, avec Garage. Maison  8 pièces 84 m² Casablanca  « Sidi Maarouf »"
Casablanca,Al Fida,Maison,30/04/2026,600000,57,à vendre,"2 chambre, 1 salon. Maison  3 pièces 57 m² Casablanca  « Al Fida »"
Casablanca,Hay Mohammadi,Maison,23/04/2026,280000000,86,à vendre,Maison   86 m² Casablanca  « Hay Mohammadi »
Casablanca,Sbata,Maison,22/04/2026,1700000,69,à vendre,"7 chambre, 3 salon, avec Garage. Maison  10 pièces 69 m² Casablanca  « Sbata »"
Casablanca,Sbata,Maison,29/03/2026,1900000,192,à vendre,"5 chambre, 2 salon. Maison  7 pièces 192 m² Casablanca  « Sbata »"
Casablanca,Hay Hassani,Maison,02/03/2026,3800000,115,à vendre,"4 chambre, 2 salon, avec Garage. Maison  6 pièces 115 m² Casablanca  « Hay Hassani »"
Casablanca,Route D'azemmour,Maison,18/02/2026,2600000,160,à vendre,"2 chambre, 1 salon, avec Garage. Maison  3 pièces 160 m² Casablanca  « Route D'azemmour »"
Fès,Sehb El Ward,Maison,31/03/2026,100000,60,à vendre,"1 chambre, 1 salon. Maison  2 pièces 60 m² Fès  « Sehb El Ward »"
Marrakech,Route D'ourika,Maison,05/05/2026,1500000,90,à vendre,"5 chambre, avec Garage. Maison  5 pièces 90 m² Marrakech  « Route D'ourika »"
Marrakech,Non spécifié,Maison,27/04/2026,1400000,88,à vendre,"3 chambre, 2 salon. Maison  5 pièces 88 m² Marrakech"
Marrakech,Non spécifié,Maison,24/04/2026,650000,104,à vendre,"9 chambre, 3 salon, avec Garage. Maison  12 pièces 104 m² Marrakech"
Marrakech,Route De Casablanca,Maison,18/04/2026,1449998,79,à vendre,"3 chambre, 2 salon. Maison  5 pièces 79 m² Marrakech  « Route De Casablanca »"
Marrakech,Ancienne Médina,Maison,29/03/2026,1200000,76,à vendre,"3 chambre, 1 salon. Maison  4 pièces 76 m² Marrakech  « Ancienne Médina »"
Marrakech,Sidi Youssef Ben Ali,Maison,22/03/2026,1200000,200,à vendre,"3 chambre, 2 salon. Maison  5 pièces 200 m² Marrakech  « Sidi Youssef Ben Ali »"
Marrakech,Agdal,Maison,19/03/2026,2800000,243,à vendre,"3 chambre, 1 salon, avec Garage. Maison  4 pièces 243 m² Marrakech  « Agdal »"
Marrakech,Hay Annahda,Maison,15/03/2026,4000000,569,à vendre,"12 chambre, 5 salon, avec Garage. Maison  17 pièces 569 m² Marrakech  « Hay Annahda »"
Marrakech,Ancienne Médina,Maison,25/02/2026,2600000,70,à vendre,"5 chambre, 3 salon. Maison  8 pièces 70 m² Marrakech  « Ancienne Médina »"
Marrakech,Hay Al Bahja,Maison,20/02/2026,950000,82,à vendre,"9 chambre, 2 salon. Maison  11 pièces 82 m² Marrakech  « Hay Al Bahja »"
Tanger,Non spécifié,Maison,30/04/2026,1900000,100,à vendre,"1 chambre, 1 salon, avec Garage. Maison  2 pièces 100 m² Tanger"
Tanger,De La Plage,Maison,27/04/2026,2201600,172,à vendre,"4 chambre, 2 salon. Maison  6 pièces 172 m² Tanger  « De La Plage »"
Tanger,Casabarata,Maison,17/04/2026,850000,50,à vendre,"2 chambre, 3 salon. Maison  5 pièces 50 m² Tanger  « Casabarata »"
Tanger,De La Plage,Maison,11/03/2026,1950000,200,à vendre,"3 chambre, 3 salon. Maison meublé 6 pièces 200 m² Tanger  « De La Plage »"
Tanger,Centre Ville,Maison,10/03/2026,10000000,450,à vendre,"7 chambre, 1 salon. Maison  8 pièces 450 m² Tanger  « Centre Ville »"
Tanger,Ahammar,Maison,02/03/2026,1900000,128,à vendre,"6 chambre, 1 salon, avec Garage. Maison  7 pièces 128 m² Tanger  « Ahammar »"
Tanger,Tanja Balia,Maison,04/02/2026,2500000,84,à vendre,"3 chambre, 2 salon, avec Garage. Maison  5 pièces 84 m² Tanger  « Tanja Balia »"
Tanger,Non spécifié,Maison,01/02/2026,2100000,75,à vendre,"3 chambre, 3 salon, avec Garage. Maison  6 pièces 75 m² Tanger"
Agadir,Non spécifié,Maison,15/04/2026,1430000,100,à vendre,"6 chambre, 2 salon, avec Garage. Maison  8 pièces 100 m² Agadir"
Agadir,Lekhiam,Maison,24/02/2026,2300000,240,à vendre,"10 chambre, avec Garage. Maison  10 pièces 240 m² Agadir  « Lekhiam »"
Meknès,Wislane,Maison,27/03/2026,1500000,93,à vendre,"3 chambre, 1 salon. Maison  4 pièces 93 m² Meknès  « Wislane »"
Oujda,Non spécifié,Maison,12/04/2026,2500000,200,à vendre,"3 chambre, 1 salon, avec Garage. Maison  4 pièces 200 m² Oujda"
