Ville,Adresse,Type,Date,Prix,Surface,Operation,Description
Casablanca,Route D'el Jadida,Villa,21/04/2026,2100000,245,à vendre,Villa   245 m² Casablanca  « Route D'el Jadida »
Casablanca,Franceville,Villa,14/04/2026,11500000,278,à vendre,"6 chambre, 1 salon. Villa  7 pièces 278 m² Casablanca  « Franceville »"
Casablanca,Sidi Bernoussi,Villa,07/04/2026,3600000,132,à vendre,"5 chambre, 4 salon. Villa meublé 9 pièces 132 m² Casablanca  « Sidi Bernoussi »"
Casablanca,Polo,Villa,13/03/2026,10800000,1200,à vendre,Villa   1200 m² Casablanca  « Polo »
Casablanca,Franceville,Villa,02/02/2026,13000000,278,à vendre,"6 chambre, 1 salon, avec Garage. Villa  7 pièces 278 m² Casablanca  « Franceville »"
Rabat,Agdal,Villa,30/04/2026,7900000,222,à vendre,"5 chambre, 3 salon, avec Garage. Villa  8 pièces 222 m² Rabat  « Agdal »"
Rabat,Guich Oudaya,Villa,24/02/2026,4500000,250,à vendre,"4 chambre, 2 salon, avec Garage. Villa  6 pièces 250 m² Rabat  « Guich Oudaya »"
Rabat,Souissi,Villa,23/02/2026,26000000,1000,à vendre,"6 chambre, 2 salon, avec Garage. Villa  8 pièces 1000 m² Rabat  « Souissi »"
Rabat,Non spécifié,Villa,19/02/2026,16500000,1100,à vendre,Villa   1100 m² Rabat
Rabat,Autre Secteur,Villa,11/02/2026,35000000,150,à vendre,"3 chambre, 4 salon, avec Garage. Villa  7 pièces 150 m² Rabat  « Autre Secteur »"
Rabat,Non spécifié,Villa,04/02/2026,3200000,160,à vendre,"4 chambre, 1 salon. Villa  5 pièces 160 m² Rabat"
Marrakech,Hay Targa,Villa,05/05/2026,9000000,570,à vendre,"6 chambre, 6 salon, avec Garage. Villa meublé 12 pièces 570 m² Marrakech  « Hay Targa »"
Marrakech,Targa,Villa,04/05/2026,3350000,316,à vendre,"6 chambre, 2 salon, avec Garage. Villa  8 pièces 316 m² Marrakech  « Targa »"
Marrakech,Non spécifié,Villa,23/04/2026,18445000,700,à vendre,"4 chambre, 2 salon, avec Garage. Villa  6 pièces 700 m² Marrakech"
Marrakech,Non spécifié,Villa,22/04/2026,3200000,360,à vendre,"3 chambre, 1 salon. Villa meublé 4 pièces 360 m² Marrakech"
Marrakech,Route D'ourika,Villa,14/04/2026,1750000,500,à vendre,"3 chambre, 2 salon. Villa  5 pièces 500 m² Marrakech  « Route D'ourika »"
Marrakech,Route D'ourika,Villa,05/04/2026,1950000,110,à vendre,"2 chambre, 2 salon, avec Garage. Villa  4 pièces 110 m² Marrakech  « Route D'ourika »"
Marrakech,Route D'ourika,Villa,05/04/2026,2600000,120,à vendre,"4 chambre, 2 salon, avec Garage. Villa  6 pièces 120 m² Marrakech  « Route D'ourika »"
Marrakech,El Afak,Villa,24/03/2026,1200000,115,à vendre,"3 chambre, 2 salon. Villa  5 pièces 115 m² Marrakech  « El Afak »"
Marrakech,Targa,Villa,08/02/2026,4700000,0,à vendre,"5 chambre, 3 salon, avec Garage. Villa  8 pièces 0 m² Marrakech  « Targa »"
Marrakech,Assif,Villa,07/02/2026,9800000,140,à vendre,"1 chambre, 1 salon, avec Garage. Villa  2 pièces 140 m² Marrakech  « Assif »"
Marrakech,Non spécifié,Villa,01/02/2026,1200000,430,à vendre,"4 chambre, 1 salon, avec Garage. Villa  5 pièces 430 m² Marrakech"
Tanger,Malabata,Villa,06/05/2026,6500000,500,à vendre,"4 chambre, 2 salon, avec Garage. Villa  6 pièces 500 m² Tanger  « Malabata »"
Tanger,Centre Ville,Villa,28/04/2026,5000000,500,à vendre,"4 chambre, 3 salon, avec Garage. Villa  7 pièces 500 m² Tanger  « Centre Ville »"
Tanger,Achakar,Villa,02/04/2026,5000000,300,à vendre,"4 chambre, 3 salon, avec Garage. Villa  7 pièces 300 m² Tanger  « Achakar »"
Tanger,Tanja Balia,Villa,14/03/2026,4950000,370,à vendre,"6 chambre, 4 salon, avec Garage. Villa  10 pièces 370 m² Tanger  « Tanja Balia »"
Tanger,Tanja Balia,Villa,14/03/2026,4000000,300,à vendre,"4 chambre, 2 salon, avec Garage. Villa  6 pièces 300 m² Tanger  « Tanja Balia »"
Tanger,De La Plage,Villa,13/03/2026,7700000,450,à vendre,"5 chambre, 3 salon, avec Garage. Villa  8 pièces 450 m² Tanger  « De La Plage »"
Tanger,Sania,Villa,05/03/2026,8300000,450,à vendre,"4 chambre, 4 salon, avec Garage. Villa  8 pièces 450 m² Tanger  « Sania »"
Tanger,Malabata,Villa,05/03/2026,7000000,400,à vendre,"6 chambre, 2 salon. Villa  8 pièces 400 m² Tanger  « Malabata »"
Tanger,Malabata,Villa,05/03/2026,7000000,330,à vendre,"3 chambre, 2 salon. Villa  5 pièces 330 m² Tanger  « Malabata »"
Tanger,Du Golf,Villa,03/03/2026,7500000,400,à vendre,"5 chambre, 3 salon, avec Garage. Villa meublé 8 pièces 400 m² Tanger  « Du Golf »"
Tanger,M'nar,Villa,02/03/2026,30000000,3000,à vendre,"6 chambre, 6 salon, avec Garage. Villa meublé 12 pièces 3000 m² Tanger  « M'nar »"
Tanger,M'nar,Villa,27/02/2026,6500000,400,à vendre,"3 chambre, 2 salon, avec Garage. Villa  5 pièces 400 m² Tanger  « M'nar »"
Tanger,Non spécifié,Villa,23/02/2026,20000000,1100,à vendre,"11 chambre, 6 salon, avec Garage. Villa  17 pièces 1100 m² Tanger"
Agadir,Drargua,Villa,08/04/2026,3360000,998,à vendre,"3 chambre, 1 salon, avec Garage. Villa meublé 4 pièces 998 m² Agadir  « Drargua »"
Meknès,Non spécifié,Villa,06/05/2026,4582900,473,à vendre,"5 chambre, 3 salon, avec Garage. Villa  8 pièces 473 m² Meknès"
Meknès,Non spécifié,Villa,19/03/2026,7800000,576,à vendre,"4 chambre, 2 salon. Villa  6 pièces 576 m² Meknès"
Kénitra,Bir Rami Est,Villa,09/04/2026,5000000,330,à vendre,"4 chambre, 4 salon. Villa  8 pièces 330 m² Kenitra  « Bir Rami Est »"
Tétouan,Non spécifié,Villa,29/04/2026,16000000,1000,à vendre,"4 chambre, 2 salon, avec Garage. Villa meublé 6 pièces 1000 m² Tétouan"
Salé,Sala El Jadida,Villa,02/04/2026,9600000,440,à vendre,"8 chambre, 2 salon, avec Garage. Villa meublé 10 pièces 440 m² Salé  « Sala El Jadida »"
Mohammedia,Non spécifié,Villa,06/02/2026,3600000,100,à vendre,"6 chambre, 2 salon, avec Garage. Villa  8 pièces 100 m² Mohammedia"
Nador,Harhoura,Villa,05/05/2026,5500000,392,à vendre,"6 chambre, 3 salon, avec Garage. Villa  9 pièces 392 m² Temara  « Harhoura »"
