ville,adresse,type,date,prix,surface,operation,description,surface_predicted
casablanca,Ain Sebaa,Appartement,02/05/2026,440000.0,58.0,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 58 m² Casablanca  « Ain Sebaa »",
casablanca,Non spécifié,Appartement,30/04/2026,1665000.0,111.0,à vendre,"3 chambre, 2 salon. Appartement  5 pièces 111 m² Casablanca",
casablanca,Maârif Extension,Appartement,29/04/2026,2100000.0,140.0,à vendre,"3 chambre, 2 salon, avec Garage. Appartement meublé 5 pièces 140 m² Casablanca  « Maârif Extension »",
casablanca,Maârif Extension,Appartement,29/04/2026,2100000.0,149.0,à vendre,"3 chambre, 2 salon, avec Garage. Appartement  5 pièces 149 m² Casablanca  « Maârif Extension »",
casablanca,Errahma,Appartement,25/04/2026,310000.0,51.0,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 51 m² Casablanca  « Errahma »",
casablanca,Abdelmoumen,Appartement,25/04/2026,1135000.0,121.0,à vendre,"4 chambre, 1 salon. Appartement  5 pièces 121 m² Casablanca  « Abdelmoumen »",
casablanca,Sidi Maarouf,Appartement,25/04/2026,908000.0,87.0,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 87 m² Casablanca  « Sidi Maarouf »",
casablanca,Sbata,Appartement,21/04/2026,555000.0,74.0,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 74 m² Casablanca  « Sbata »",
casablanca,Ain Sebaa,Appartement,20/04/2026,720000.0,85.0,à vendre,"1 chambre, 2 salon. Appartement meublé 3 pièces 85 m² Casablanca  « Ain Sebaa »",
casablanca,Les Princesses,Appartement,18/04/2026,2150000.0,144.0,à vendre,"3 chambre, 2 salon. Appartement  5 pièces 144 m² Casablanca  « Les Princesses »",
casablanca,Roches Noires,Appartement,18/04/2026,1062500.0,85.0,à vendre,"2 chambre, 1 salon, avec Garage. Appartement  3 pièces 85 m² Casablanca  « Roches Noires »",
casablanca,Sidi Bernoussi,Appartement,17/04/2026,340000.0,55.0,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 55 m² Casablanca  « Sidi Bernoussi »",
casablanca,Hay Hassani,Appartement,14/04/2026,1280000.0,209.0,à vendre,"3 chambre, 2 salon, avec Garage. Appartement  5 pièces 209 m² Casablanca  « Hay Hassani »",
casablanca,Sidi Maarouf,Appartement,13/04/2026,790000.0,84.0,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 84 m² Casablanca  « Sidi Maarouf »",
casablanca,Oulfa,Appartement,11/04/2026,380000.0,53.0,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 53 m² Casablanca  « Oulfa »",
casablanca,Palmier,Appartement,10/04/2026,1340000.0,47.0,à vendre,"1 chambre, 1 salon. Appartement  2 pièces 47 m² Casablanca  « Palmier »",
casablanca,Sidi Moumen,Appartement,09/04/2026,420000.0,64.0,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 64 m² Casablanca  « Sidi Moumen »",
casablanca,Maârif Extension,Appartement,06/04/2026,1038500.0,63.0,à vendre,"1 chambre, 1 salon. Appartement  2 pièces 63 m² Casablanca  « Maârif Extension »",
casablanca,Palmier,Appartement,03/04/2026,1152000.0,40.0,à vendre,"1 chambre, 1 salon. Appartement  2 pièces 40 m² Casablanca  « Palmier »",
casablanca,Sidi Moumen,Appartement,31/03/2026,530000.0,73.0,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 73 m² Casablanca  « Sidi Moumen »",
casablanca,Maârif Extension,Appartement,30/03/2026,1089000.0,52.0,à vendre,"1 chambre, 1 salon. Appartement  2 pièces 52 m² Casablanca  « Maârif Extension »",
casablanca,Aïn Borja,Appartement,29/03/2026,920000.0,97.0,à vendre,"2 chambre, 2 salon. Appartement  4 pièces 97 m² Casablanca  « Aïn Borja »",
casablanca,Palmier,Appartement,27/03/2026,1120000.0,40.0,à vendre,"1 chambre, 1 salon. Appartement  2 pièces 40 m² Casablanca  « Palmier »",
casablanca,Palmier,Appartement,27/03/2026,2260000.0,100.0,à vendre,"3 chambre, 1 salon. Appartement  4 pièces 100 m² Casablanca  « Palmier »",
casablanca,Palmier,Appartement,27/03/2026,2060000.0,87.0,à vendre,"2 chambre, 1 salon, avec Garage. Appartement meublé 3 pièces 87 m² Casablanca  « Palmier »",
casablanca,Oulfa,Appartement,26/03/2026,440000.0,51.0,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 51 m² Casablanca  « Oulfa »",
casablanca,Californie,Appartement,26/03/2026,1456000.0,112.0,à vendre,"2 chambre, 1 salon, avec Garage. Appartement  3 pièces 112 m² Casablanca  « Californie »",
casablanca,Non spécifié,Appartement,26/03/2026,520000.0,62.0,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 62 m² Casablanca",
casablanca,Non spécifié,Appartement,25/03/2026,680000.0,72.0,à vendre,2 chambre. Appartement meublé 2 pièces 72 m² Casablanca,
casablanca,Al Qods,Appartement,23/03/2026,820000.0,91.0,à vendre,"3 chambre, 1 salon. Appartement  4 pièces 91 m² Casablanca  « Al Qods »",
casablanca,Val Fleuri,Appartement,13/03/2026,1475000.0,97.0,à vendre,"1 chambre, 1 salon. Appartement  2 pièces 97 m² Casablanca  « Val Fleuri »",
