ville,adresse,type,date,prix,surface,operation,description,surface_predicted,is_placeholder,price_label,label_reason,prix_normalise,prix_m2
casablanca,Ain Sebaa,Appartement,02/05/2026,440000,58.0,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 58 m² Casablanca  « Ain Sebaa »",,False,total,fits total range with realistic per-m² ratio,440000.0,7586.206896551724
casablanca,Sidi Bernoussi,Appartement,01/05/2026,400000,60.0,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 60 m² Casablanca  « Sidi Bernoussi »",,True,total,fits total range with realistic per-m² ratio,400000.0,6666.666666666667
casablanca,Non spécifié,Appartement,30/04/2026,1665000,111.0,à vendre,"3 chambre, 2 salon. Appartement  5 pièces 111 m² Casablanca",,False,total,fits total range with realistic per-m² ratio,1665000.0,15000.0
casablanca,Non spécifié,Appartement,30/04/2026,2400000,134.0,à vendre,"4 chambre, 1 salon, avec Garage. Appartement  5 pièces 134 m² Casablanca",,True,total,fits total range with realistic per-m² ratio,2400000.0,17910.44776119403
casablanca,Maârif Extension,Appartement,29/04/2026,2100000,140.0,à vendre,"3 chambre, 2 salon, avec Garage. Appartement meublé 5 pièces 140 m² Casablanca  « Maârif Extension »",,False,total,fits total range with realistic per-m² ratio,2100000.0,15000.0
casablanca,Maârif Extension,Appartement,29/04/2026,2100000,149.0,à vendre,"3 chambre, 2 salon, avec Garage. Appartement  5 pièces 149 m² Casablanca  « Maârif Extension »",,False,total,fits total range with realistic per-m² ratio,2100000.0,14093.959731543624
casablanca,Non spécifié,Appartement,26/04/2026,1200000,88.0,à vendre,"2 chambre, 1 salon, avec Garage. Appartement  3 pièces 88 m² Casablanca",,True,total,fits total range with realistic per-m² ratio,1200000.0,13636.363636363636
casablanca,Errahma,Appartement,25/04/2026,310000,51.0,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 51 m² Casablanca  « Errahma »",,False,total,fits total range with realistic per-m² ratio,310000.0,6078.431372549019
casablanca,Abdelmoumen,Appartement,25/04/2026,1135000,121.0,à vendre,"4 chambre, 1 salon. Appartement  5 pièces 121 m² Casablanca  « Abdelmoumen »",,False,total,fits total range with realistic per-m² ratio,1135000.0,9380.165289256198
casablanca,Sidi Maarouf,Appartement,25/04/2026,908000,87.0,à vendre,"2 chambre, 1 salon. Appartement  3 pièces 87 m² Casablanca  « Sidi Maarouf »",,False,total,fits total range with realistic per-m² ratio,908000.0,10436.781609195403
