Ville,Adresse,Type,Date,Prix,Surface,Operation,Description
Casablanca,Hay Hassani,Terrain,18/04/2026,1300000,121,à vendre ,Terrain   121 m² Casablanca  « Hay Hassani »
Casablanca,Non spécifié,Terrain,17/04/2026,3140000,314,à vendre ,Terrain   314 m² Casablanca
Casablanca,Sidi Maarouf,Terrain,08/04/2026,2200,0,à vendre ,Terrain   0 m² Casablanca  « Sidi Maarouf »
Casablanca,Sidi Maarouf,Terrain,08/04/2026,4000,0,à vendre ,Terrain   0 m² Casablanca  « Sidi Maarouf »
Casablanca,Polo,Terrain,03/04/2026,12500,2700,à vendre ,Terrain  5 pièces 2700 m² Casablanca  « Polo »
Casablanca,Non spécifié,Terrain,16/03/2026,45,81,à vendre ,Terrain  4 pièces 81 m² Casablanca
Casablanca,Non spécifié,Terrain,28/02/2026,4150000,140,à vendre ,Terrain   140 m² Casablanca
Casablanca,Maarif,Terrain,27/02/2026,10340000,220,à vendre ,Terrain  2 pièces 220 m² Casablanca  « Maarif »
Rabat,Non spécifié,Terrain,07/03/2026,40000,500,à vendre ,Terrain   500 m² Rabat
Fès,Non spécifié,Terrain,05/04/2026,450000,0,à vendre ,Terrain   0 m² Fès
Fès,Non spécifié,Terrain,27/02/2026,1000000,10000,à vendre ,Terrain   10000 m² Fès
Marrakech,Non spécifié,Terrain,24/04/2026,500000,0,à vendre ,Terrain   0 m² Marrakech
Marrakech,Sidi Abdellah Ghiat,Terrain,20/04/2026,602000,2800,à vendre ,Terrain   2800 m² Marrakech  « Sidi Abdellah Ghiat »
Marrakech,Non spécifié,Terrain,15/04/2026,85000,13000,à vendre ,Terrain   13000 m² Marrakech
Marrakech,Palmeraie,Terrain,03/04/2026,2300000,484,à vendre ,Terrain   484 m² Marrakech  « Palmeraie »
Marrakech,Route D'ourika,Terrain,26/03/2026,5000000,400,à vendre ,Terrain  7 pièces 400 m² Marrakech  « Route D'ourika »
Marrakech,Ain Mezouar,Terrain,24/03/2026,1600000,288,à vendre ,Terrain   288 m² Marrakech  « Ain Mezouar »
Marrakech,Non spécifié,Terrain,12/03/2026,3130000,182,à vendre ,Terrain  7 pièces 182 m² Marrakech
Marrakech,Les Portes De Marrakech,Terrain,08/03/2026,2200000,413,à vendre ,Terrain  6 pièces 413 m² Marrakech  « Les Portes De Marrakech »
Marrakech,Route D'ourika,Terrain,09/02/2026,750000,99,à vendre ,Terrain   99 m² Marrakech  « Route D'ourika »
Marrakech,Route D'ourika,Terrain,07/02/2026,650000,1000,à vendre ,Terrain   1000 m² Marrakech  « Route D'ourika »
Marrakech,Route D'ourika,Terrain,06/02/2026,960000,2000,à vendre ,Terrain  1 pièces 2000 m² Marrakech  « Route D'ourika »
Tanger,Administratif,Terrain,06/05/2026,11600000,4000,à vendre ,Terrain   4000 m² Tanger  « Administratif »
Tanger,Non spécifié,Terrain,10/03/2026,2500000,1228,à vendre ,Terrain   1228 m² Tanger
Tanger,Achakar,Terrain,27/02/2026,1800000,503,à vendre ,Terrain   503 m² Tanger  « Achakar »
Tanger,Non spécifié,Terrain,27/02/2026,2900000,600,à vendre ,Terrain   600 m² Tanger
Tanger,Manar,Terrain,24/02/2026,2928000,366,à vendre ,Terrain   366 m² Tanger  « Manar »
Tanger,Malabata,Terrain,13/02/2026,2816000,220,à vendre ,Terrain   220 m² Tanger  « Malabata »
Tanger,Non spécifié,Terrain,12/02/2026,3850000,700,à vendre ,Terrain   700 m² Tanger
